行业,批次,不限专业,公司名称,学历,岗位更新日期,官方公告,岗位,网申入口,含免笔试,截止时间,企业类型,招聘对象,备注,工作城市
"消费零售,医疗健康与生物科技",27届秋招,0,Shokz韶音,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MzU5NDgzNjIwMw==&mid=2247492920&idx=1&sn=8b7e3f679c2ca7b2bd9749e48f269bbe&chksm=6765998be922d5c3fb4164a0dea9c8923119d5cb1759531324315ed04f28e2948ade09ec70b0#rd,产品经理培训生，软件产品经理，APP产品经理，用户与市场研究 (战略方向)，用户与市场研究 (用户体验方向)，人因工程师，产品GTM培训生，工业设计师，CMF设计师，研究员 (算法)，研究员 (声学器件)，研究员 (电子类)，算法工程师，硬件工程师，嵌入式开发工程师，设计管培生 (视觉方向)，设计管培生 (展陈方向)，设计管培生 (包装方向)，设计管培生 (视频方向)，设计管培生 (三维渲染方向)，AI应用工程师，战略级管培生，商业管培生,https://hr.shokz.com.cn/apply/aftershokzhr/40779/#/,0,招满即止,民企,"2026, 2027","竞争力薪资
租房补贴
校招生公寓
校招礼盒
节日礼品
内购福利
免费健身房
免费茶点
季度团建经费
20+运动俱乐部（每年花费上百万经费，聘请专业教练指导，租用场地，报销员工2/3运动费用）
系统培训
提供竞争力薪资与租房补贴",广东-深圳
半导体,27届秋招,0,明泰微电子,"专科,本科,硕士",2026/08/19,https://mp.weixin.qq.com/s?__biz=Mzk0MDMyMzc1OA==&mid=2247489214&idx=1&sn=9248ad08ca962ea5ad7c027891d2dd95&chksm=52c98bcb1106328e204bd416f47880f74396f6256da47c63d0f9b2011a5b6f5944026c8677ec#rd,储备生，管培生（本科），管培生（硕士）,mailto:Huangweiwei@mountek-sc.com,0,招满即止,民企,2027,"硕士税前年薪 10-12万；本科税前年薪 6-10万；专科税前年薪 5-7万
五险一金
住宿补贴、餐补
节日礼物、生日礼物、健康体检
系统培训、导师培养","四川-遂宁, 四川-内江"
咨询与专业服务,27届秋招,0,麦肯锡,"本科,硕士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MzkwNDM5NzIzNw==&mid=2247486153&idx=1&sn=7d0ecd600154649d110f40c58ccdef20&chksm=eec6d69721d1cda926799978d85316a6ea142575774924c7f084009db39fdea6176901581c8b#rd,商业分析师，暑期商业分析师,www.mckinsey.com/careers/businessanalyst,1,招满即止,外企,"2027, 2028",,"北京, 上海, 广东-深圳, 香港, 台北"
"汽车,新能源,制造业",27届秋招,1,春风动力,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MzkyMjEyMTQ4NQ==&mid=2247486334&idx=1&sn=fad7a7c5c51d87cafb32299293b54c24&chksm=8875e44c11e7395cba8e5a3014db616aef966b6885ca2910f6f8a66c7474f8f09689c0fa1755#rd,零部件研发，发动机研发，整车评价，发动机实验，整车实验，电控软硬件开发，电池开发，电驱开发，电驱系统测试，应用软件工程师，linux工程师，OTA测试工程师，电器工程师，系统架构工程师，工艺技术，生产计划，精益管理，业务经理，电商运营，活动策划，造型设计师，CMFG设计师，油泥模型师，A面设计师，采购工程师，质量管理，计划物流，国际业务经理，车联网运营，西语储备生，泰语储备生，人力资源，财务管理，合规,https://cfmoto.zhiye.com/,0,招满即止,民企,2027,"有竞争力的薪酬
五险一金
餐补
超长春节假期
定期体检
生日和节日福利
员工健身房 + 丰富社团和公司活动 (摩托车沙龙、舞蹈社、篮球社、开放日等)
导师培养
专属导师带教成长","浙江-杭州, 上海, 浙江-嘉兴, 重庆, 海外"
金融,27届秋招,0,恒生电子,"本科,硕士,博士",2026/08/19,https://job.hdu.edu.cn/campus/view?id=9507,Java开发工程师，C工程师，C++工程师，算法开发工程师，AI应用开发工程师，智能体开发工程师，模型后训练工程师，测试开发工程师，测试工程师，实施工程师，运维工程师，维护工程师，金融业务研究员，需求分析师，销售,http://campus.hundsun.com,0,2026-10-18,民企,"2026, 2027",,"浙江-杭州, 北京, 上海, 广东-深圳, 湖北-武汉, 江苏-南京"
"消费零售,互联网",27届秋招,0,传音控股,"本科,硕士,博士",2026/08/19,https://jyw.mnnu.edu.cn/campus/view/id/697589,AI专项岗，实习生,https://transsion.zhiye.com/4/jobsshareId=845f4b0b-404b-486f-be8b-c66ad5aa413d&shareSource=2,0,2026-10-18,民企,2027,,"上海, 重庆, 广东-深圳, 海外"
半导体,27届秋招,0,豪威集团,"硕士,博士",2026/08/19,https://shxy.jysd.com/campus/view/id/1132571,数字电路设计工程师，模拟IC设计工程师，数字电路后端设计工程师，数字芯片设计流程开发工程师，数字电路中端设计实现工程师，数字验证工程师，DFT工程师，DFT工程师-IP开发与集成方向，CAD工程师，像素设计工程师，TCAD 工程师，光学设计工程师，工艺整合工程师，图像算法工程师，芯片硬件工程师，系统工程师，医疗成像系统工程师，硬件工程师，应用工程师，产品验证工程师，产品工程师，FAE (DSP现场应用工程师)，技术文档工程师，功能安全工程师，项目管理工程师，架构工程师，传感器性能表征工程师，诊断驱动良率分析工程师，像素性能表征工程师，工艺工程师，良率提升工程师，制造工程师，设备工程师，产品工程师-CIS，测试工程师，系统应用工程师，算法工程师，Firmware工程师，嵌入式软件工程师，电源硬件工程师，机电控制工程师，模拟验证工程师,https://ovt-omnivision.zhiye.com/Campus,0,2026-10-18,民企,2027,"五险一金
补充医疗
年度体检
餐饮补贴
带薪年假
弹性工时
第一阶段：雏鹰启航训练营，助你从校园到职场软着陆
导师培养、系统培训","上海, 北京, 四川-成都, 广东-深圳, 湖北-武汉, 天津, 湖南-长沙"
半导体,27届秋招,1,苏纳,"本科,硕士,博士",2026/08/19,https://shxy.jysd.com/campus/view/id/1132570,研发工程师，射频工程师，测试研发工程师，封装设计工程师，战略工程师，高管文秘，财务专员，人事专员，设备工程师-电气工程，设备工程师-软件设计，设备工程师-视觉算法，集成计划工程师，PMC工程师，生产工程师，数字化应用工程师，数据开发工程师，AI应用工程师，电学设计工程师，仿真工程师（力/热方向），设计工程师，质量工程师，销售工程师,http://xhslink.com/m/3YF8u0HYfXu,0,招满即止,民企,"2026, 2027","薪酬激励
人才补贴
专项补贴
节日福利
带薪休假
团建社团","江苏-苏州, 江苏-淮安, 广东-深圳, 湖北-武汉, 四川-成都, 泰国"
半导体,27届秋招,1,星钥半导体,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MzcxMDMxODYwMA==&mid=2247483669&idx=1&sn=f122937aa41471d4f20c2eb3f6fd3172&chksm=db5c1da9df6f24a84217f5e6aa138ae679feb528db673442c7169e09fd87b0987131b9f703e6#rd,Micro LED研发工程师，外延研发工程师，制程整合工程师，良率提升工程师，基础支持工程师，工艺工程师，设备工程师,https://app.mokahr.com/campus-recruitment/starksemi/142996#/,0,招满即止,民企,2027,"基本工资、轮班津贴、加班费、项目奖金、年终奖金
餐补
五险一金、商业保险、带薪年假、节日福利、年度体检、工作手机
团建活动、兴趣社团、各类赛事、户外活动
导师培养、晋升通道",湖北-武汉
"人工智能,机器人/智能硬件",27届秋招,0,ComindX,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MzYzOTk4NjA1OQ==&mid=2247483810&idx=1&sn=8535f5cb0ac0d8b98e492caa6b1edef9&chksm=6dadb8e94ff6dd8c02fd153ebac7db60981988108aebe4a4fd8dc615a4ed54fe6e891196aeae#rd,客户端开发全栈工程师，记忆智能体工程师，硬件工程师,mailto:hr@comindx.com,0,招满即止,民企,2027,"具备市场竞争力的薪酬与期权，核心岗位享有创始团队级别回报
扁平、透明，不堆加班 KPI，聊技术是日常，而不是任务
双通道职业发展体系，既可深耕技术走向专家路线，也可牵头关键技术方向、主导新项目
具备市场竞争力的薪酬与期权",北京
"化工材料,新能源",27届秋招,1,中伟股份,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=Mzg5MTczNDI3OA==&mid=2247488382&idx=1&sn=a165d50ed306a9597cda18c0cb7d5ad6&chksm=5663c6355a4e41202a00870e7313774170785e291f51a31b69c5ef6ae9d933b21a1cc1281be2#rd,研发技术类，矿业资源类，生产运营类，机械设备类，质控体系类，安环管理类，市场营销类，采购物流类，融资证券类，财务管理类，人力资源类，行政运营类，信息技术类，多语服务类，校园大使,http://cngr.hotjob.cn,0,招满即止,民企,2027,"五险一金
CNGR雏鹰领航计划（优秀毕业生补贴）
带薪年假
通讯补贴
年终奖
股票期权
节日、生日物资/结婚礼金
免费健康体检
出国工作机会
系统培训、导师培养、轮岗学习","湖南, 贵州, 广西, 上海, 香港, 韩国, 印度尼西亚, 摩洛哥, 阿根廷"
"半导体,制造业",27届秋招,1,惠科股份,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=Mzg3MjYyMjY4OQ==&mid=2247488075&idx=1&sn=7b9c2fdb33c4839dcab5a511f7293a3c&chksm=89961034d83b5801e2a772709279d8dfae56f5341ece73f43e499beee49ad794416c7dad50af#rd,AI类，机器人类，IT类，产品研发类，工程技术类，设备工艺类，生产制造类，市场营销类，品质类，经管类，厂务类，职能类,https://mp.weixin.qq.com/s?__biz=Mzg3MjYyMjY4OQ==&mid=2247488075&idx=1&sn=7b9c2fdb33c4839dcab5a511f7293a3c&chksm=89961034d83b5801e2a772709279d8dfae56f5341ece73f43e499beee49ad794416c7dad50af#rd,0,招满即止,民企,2027,"通用类培养：领导力全程赋能；专业类培养：基于实战任务，边做边学
衣食住行+奖金+假期+定期体检
良率改善奖、项目奖、专利奖等多种奖金
晋升通道、导师培养","广东-深圳, 安徽-合肥, 湖北-宜昌, 广东-东莞, 广西-北海"
"汽车,新能源",27届秋招,0,零跑汽车,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=Mzg5MDY1MTIwOQ==&mid=2247492717&idx=1&sn=856c3df6d60f614d600d72ff1b94894d&chksm=9487752d31a618f05b53005739147346f27a3a1cdf5c4793f96b6280adb47ba1ea2ca06cb2a7#rd,智驾算法类，三电算法类，嵌软类，硬件类，大数据类，整车研发类，电池研发类，电驱研发类,https://mp.weixin.qq.com/s?__biz=Mzg5MDY1MTIwOQ==&mid=2247492717&idx=1&sn=856c3df6d60f614d600d72ff1b94894d&chksm=9487752d31a618f05b53005739147346f27a3a1cdf5c4793f96b6280adb47ba1ea2ca06cb2a7#rd,0,招满即止,民企,2027,"享薪酬高位定档，晋升不设上限
六险一金、补充年假、入职过渡酒店等
零跑大牛1v1带教，核心研发深度参与
双轨培养机制（公司级&部门级），专属辅导人手把手带教
导师1v1带教
薪酬高位定档",浙江-杭州
"人工智能,机器人/智能硬件,制造业",27届秋招,0,知象光电,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MzkyNTYwMjkzNQ==&mid=2247503672&idx=1&sn=df76da60d6fc6a80a30fedc1a9d19ff5&chksm=90647909d43c15c50c8b5a60428a0d02be22ea51b1d49ebbad82c908ced6af77b54161be9bf2#rd,SLAM算法工程师，AI算法工程师，AI应用开发工程师，软件测试工程师，产品经理，项目助理，国内品牌专员，海外品牌专员，国内技术支持，海外技术支持，国内销售专员，海外销售专员，跨境电商运营，产品资料文案策划，短视频策划剪辑，生产计划专员，财务专员,https://hr.revopoint3d.com.cn/gwtd.html#box,0,2026-10-18,民企,2027,"算法、研发类年薪 18-35万；非研发类年薪 10-20万
年度奖金、项目奖金、能力突出者资源全力倾斜
住房补贴
带薪年假、五险一金、周末双休、节假日礼包、周年礼物、年度体检、集体下午茶、每日茶歇
系统培训、导师培养
算法研发类年薪高达35万","陕西-西安, 广东-深圳, 上海"
其他,27届秋招,0,易点云,"本科,硕士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MzkxNDE2NDcxMg==&mid=2247490327&idx=1&sn=9d96d0e7441846d72fea03e51dfa7bd8&chksm=fde914610d10778178d7248635a29a2c4648d1427dee7b100e8a3c51b23c1ec89f66514a13ed#rd,商业运营分析管培生，财务定向管培生，组织部高潜管培生，产品定向管培生，商业产品经理，商业策略经理，市场策略创新，风控策略经理，硬件产品经理，服务产品经理，研发产品经理，Java技术，前端开发，测试工程师，算法工程师，财务，采购经理，法务，融资经理，人力，创意设计，行政管理专家,mailto:xiaozhao@edianyun.com,0,招满即止,民企,2027,"部门团建
五险一金
节日礼盒
下午茶
餐补
最快4天发offer，正常半个月内走完全流程
系统培训","北京, 上海, 广东-广州, 广东-深圳, 浙江-杭州, 湖北-武汉, 四川-成都, 安徽-合肥, 江苏-苏州"
"互联网,电商",27届秋招,1,万葭灯火,"本科,硕士,博士",2026/08/19,https://lncmxl.bysjy.com.cn/detail/online?id=3538707,商家BD,mailto:wanjiadenghuodouyinhr@bytedance.com,1,招满即止,民企,2027,"5K-11K/月
六险一金
餐补、交通补、高温补贴、定期团建、节日福利等",全国
"游戏,互联网",27届秋招,0,完美世界,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MjM5MTgzMjIwMQ==&mid=2651787130&idx=1&sn=bb986a7de05795cb718975b9e36848a0&chksm=13578dfe4e79cef337f97f7f0d7b883c17949b25c7af3ef530d71a012d4bbcd6c52ba4402ef3#rd,美术类，程序类，策划类，发行运营类，综合类,https://app.mokahr.com/campus-recruitment/pwrd/172467?locale=zh-CN#/,0,招满即止,民企,2027,"完善的福利体系
导师培养","北京, 上海, **"
"环保,制造业",27届秋招,0,盈峰环境,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MzI4MTIyMDExNQ==&mid=2247546534&idx=1&sn=4d086ac63590255e83c99c22f9785005&chksm=5bba08e701b7d1f59223ed6e25084fe2b1a2ebd26c930f2114ab16adaa6d431ad2cc6b5a22e1#rd,研发技术类岗位，互联网IT类岗位，技术支持类岗位，财务金融类岗位，项目运营类岗位，营销服务类岗位，综合管理类岗位，2027届校园品牌合伙人（校园大使）,https://app.mokahr.com/campus-recruitment/inforeenviro/182015#/jobs,0,招满即止,民企,"2026, 2027",校园大使专属权益：定制伴手礼 + 基础底薪 + 多维奖金激励,"湖南-长沙, 广东-佛山, 浙江-绍兴, 全国, 海外"
证券,27届秋招,0,光大证券,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MzU4MzkyNjU4Ng==&mid=2247485113&idx=1&sn=f46053aeaa313d092a531a882d57556c&chksm=6b1703c0f60965a8883ac13d1b2884768340fda3830394a9acf83fcdfedc1183a0ab61b08be3#rd,交易类，交易管理类，销售类，产品研发类，IT开发类，研究类，风控类,https://ebscn.zhiye.com/campus,0,招满即止,国企,2027,,上海
"互联网,文化传媒",27届秋招,0,微博,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MzI1NDY4ODE1OA==&mid=2247493475&idx=1&sn=d27f496fb76efa0d42b54353dc5ac2cc&chksm=e4308abb2b11dfa5a0053951d3f9bb3e91341e1ec5fb7ece35df4b900a422d7b8eb81adece01#rd,娱乐策略运营，娱乐商业运营，娱乐热点运营，微博电影运营，微博音乐演出运营，微博剧综运营，微博明星运营,https://app.mokahr.com/su/BaZ29,1,招满即止,民企,2027,轮岗学习,北京
半导体,27届秋招,0,鹏新旭,"硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MzkwOTQwMDU2Ng==&mid=2247484870&idx=1&sn=d2d19e077df8270efac673cc18e7df3f&chksm=8a1d8badc2482cd2ec928a812b6dfc3ab3b1186f53f18d33edc1103aa34106c1e0aa566f0f33#rd,研发培生，工艺工程师（TD），制程整合工程师（TD），良率提升工程师（TD），OPC工程师（TD），工艺培生，工艺工程师（OP），制程整合工程师（OP），良率提升工程师（OP），设备工程师，智能制造工程师，厂务工程师，产品工程师，质量工程师，分析工程师，可靠性工程师，IT工程师，AI工程师，采购工程师，采购履行工程师，物流工程师，关务工程师，工业工程师，物料管控工程师，财务专员，法务专员，人力资源专员,https://pensun.zhiye.com/campus/jobs,0,招满即止,国企,2027,"行业内富有竞争力的薪酬回报
入职费用报销（交通费、体检费、行李邮寄费等）
五险一金，补充商业重疾险，节日福利、年度体检、公司班车等
团建活动、社团活动、Family Day、趣味运动会、健身房、企业医疗及心理咨询服务等
以“1358”人才计划为指引，通过芯锐杯实战平台加速人才成长
专业技术和管理双通道设计",广东-深圳
"化工材料,新能源",27届秋招,1,赣锋锂业,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=Mzk0ODY1ODg1OQ==&mid=2247490508&idx=1&sn=341ee84f56effea67174e1676b764b0e&chksm=d290d914b6294bfe99d6e70bff7c9b998987dc298ec6f79e868b27e9f2032e6f9dc2dea14981#rd,研发类，工艺类，机电设备类，品质分析类，职能类，项目管理类，采矿地质类，营销管理类,http://www.ganfenglithium.com,0,招满即止,民企,2027,"五险一金
餐费补贴
住房补贴
交通补贴
年终奖金
带薪年假
员工体检
员工旅游
员工培养计划","江西-新余, 江西-宜春, 江西-南昌, 内蒙古-锡林郭勒, 湖南-郴州, 江苏-苏州, 广东-东莞, 上海, 云南-昆明, 浙江-宁波, 广东-惠州, 四川-达州, 马里, 阿根廷"
"人工智能,机器人/智能硬件",27届秋招,0,智元机器人,"本科,硕士,博士",2026/08/19,https://jyw.mnnu.edu.cn/campus/view/id/697590,算法类，软件系统类，测试类，硬件机械类，市场，运营类，设计类，产品，策划，项目类,https://agirobot.jobs.feishu.cn/s/jURwOaQhsUk,0,2026-10-18,民企,2027,,"上海, 北京, 广东-深圳"
游戏,27届秋招,0,点点互动,"本科,硕士,博士",2026/08/19,https://shxy.jysd.com/campus/view/id/1132573,数值策划，系统策划，广告创意策划，全球广告投放，游戏前端开发，游戏后端开发，AIGC工程师，AI+广告投放，AI+创意策划，AI+视频剪辑,https://career.centurygames.cn/campus/jobs?shareId=56fc50ae-914a-4614-97a7-32b1e161bffa&shareSource=1,0,2026-11-15,民企,2027,,"北京, 上海, 广东-深圳, 福建-福州, 广东-广州, 四川-成都"
"人工智能,汽车,机器人/智能硬件",27届秋招,0,飞步科技,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MzY5NDM4MzM2Mg==&mid=2247483722&idx=1&sn=f784b6729f808e163cc7e51478764d1c&chksm=1dcb17e70d150e0f0b8af7dad55504092f20405568deca7983ed6ca498c50d3a4783b3f5a2e6#rd,大模型算法工程师，感知融合算法工程师，标定算法工程师，规控算法工程师，C++开发工程师（规控），C++开发工程师（仿真），C++开发工程师（调度），C++开发工程师（地图），C++开发工程师（效能），全栈开发工程师,https://app.mokahr.com/su/zpmecu,0,招满即止,民企,"2027, 2028","提供在行业内极具市场竞争力的薪水
项目/年度丰厚激励奖金，员工股权激励
五险一金，双边12%公积金
双休制度，福利假期，高效弹性工作制
餐饮补贴、交通补助、差旅补贴
节日惊喜、咖啡饮品、团建娱乐
大牛专家&资深前辈专属带教，量身定制成长路径
深度参与核心研发与系统攻关
前沿文献研讨、技术分享，激发硬核算法脑暴
通过阶段复盘、能力盘点与成长计划，推动从新人到骨干的稳步跃迁",浙江-杭州
咨询与专业服务,27届秋招,1,FMC Consulting,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MjM5OTMxMzQ0Mg==&mid=2650497251&idx=1&sn=91d165e6ec85409cde5596ed0a3da842&chksm=d0f8f0de123a28009d06f48f41ec8c1234be38cb9b88b299a8c6758ff6e01fc73fa427f18823#rd,猎头顾问管培生，猎头顾问实习生,https://qr06.cn/Em2qvz,1,招满即止,民企,"2027, 2028","FMC成长连接手册：包含6个层次、8大框架的知识平台
多维度分享机制：FMC云上学堂、行业/职能拉通分享、合伙人小课堂等
招聘流程“体验日”：可近距离感受真实猎头工作的一天
系统培训","上海, 江苏-苏州, 广东-广州, 广东-深圳, 北京, 四川-成都"
"制造业,机器人/智能硬件",27届秋招,1,杰克科技,"本科,硕士,博士",2026/08/19,https://mp.weixin.qq.com/s?__biz=MzA5NDQyNjMwOA==&mid=2650870141&idx=1&sn=d679465e0508195b64a6b2d21a8fb7c7&chksm=b654e2da68eabfd4da7f284fd8a81c995d790453af5d2b3a288d50eeb2f065939407c6c08a01#rd,机械工程师，软件工程师，算法工程师，硬件工程师，机器人工程师，嵌入式软件工程师，电控工程师，电气工程师，市场营销工程师，市场营销工程师（小语种），市场营销工程师（外籍），IE工程师，生产储备工程师，财务岗，国际运营岗（德/意）,https://chinajack.m.zhiye.com/Home/Index,0,招满即止,民企,2027,"免费员工公寓
双休
国家法定假期
五险一金
带薪年假
出差补贴
节假日礼品
配车福利
父母孝心基金
年度健康体检
定期团建等","浙江-杭州, 浙江-台州, 湖北-武汉, 陕西-西安, 北京"
通信运营商,27届秋招,0,中国电信新疆公司,"本科,硕士,博士",2026/08/20,https://wejob.chinatelecom.com.cn/wt/TELE/web/index#/postinquiry?data=eyJrZXkiOjU4MTYyMCwidHlwZSI6IjEiLCJyZWNydWl0UHJvamVjdCI6IiIsInJlY3J1aXRQcm9qZWN0TmFtZSI6IiJ9,解决方案经理，产数开发工程师，法律事务，会计核算，数据运营工程师，综合化维护工程师，动力环境工程师，预算管理与财务分析，软件开发工程师，接入网（设备）运维工程师，客户经理，设备现场维护，交付运营经理，资产管理，IT支撑工程师，项目经理，应用开发工程师，AI算法工程师，AI应用工程师，科技创新运营，产品支撑经理，VIP客户经理，客户运维工程师，数据建模师,https://wejob.chinatelecom.com.cn/wt/TELE/web/index#/postinquiry?data=eyJrZXkiOjU4MTYyMCwidHlwZSI6IjEiLCJyZWNydWl0UHJvamVjdCI6IiIsInJlY3J1aXRQcm9qZWN0TmFtZSI6IiJ9,0,招满即止,国企,2027,,"新疆-博尔塔拉蒙古, 新疆-伊犁, 新疆-巴音郭楞蒙古, 新疆-喀什, 新疆-哈密, 新疆-昌吉, 新疆-和田, 新疆-乌鲁木齐"
"消费零售,制造业",27届秋招,0,恒安集团,"本科,硕士,博士",2026/08/20,https://mp.weixin.qq.com/s?__biz=MzI4MTE4MzA4MQ==&mid=2247487303&idx=1&sn=fc0b86f77eec00c114cf7a951872ab0b&chksm=abf0ddc05bf4f001893cd28f2b835123e0a7c96cd6dddc583a43c931b6c557db01712ca02b3d#rd,营销管培生，生产管培生，财务管培生，市场管培生，电商管培生，质量管培生，供应链管培生,https://hengan1.zhiye.com/,1,招满即止,民企,2027,"五险一金
年终奖
生日/节日福利
员工体检
入职差旅报销","全国, 福建-厦门, 福建-泉州"
医疗健康与生物科技,27届秋招,0,新产业生物,硕士,2026/08/20,https://cug.91wllm.cn/campus/view/id/1001519,数据分析工程师（AI方向），软件研发工程师（C++/C#），机械研发工程师，电子研发工程师，试剂研发工程师,https://cug.91wllm.cn/campus/view/id/1001519,0,2026-10-20,民企,2027,"研发类岗位（数据分析、软件、机械、电子研发工程师）月薪 15000 元及以上
试剂研发工程师月薪 10500-14999 元",广东-深圳
"半导体,人工智能",27届秋招,0,英特尔,"本科,硕士,博士",2026/08/20,https://mp.weixin.qq.com/s?__biz=Mzk2NDgwNjUyMQ==&mid=2247570644&idx=1&sn=03383618b77da97e6f27417649b1731f&chksm=03755ed874672c460db194766496959c9c3e04809e347034ac36afaeaaa2387b10a00670d1ab#rd,AI Compiler and Library Engineer，AI Framework Software Engineer，Agentic AI Customer Co-Val CG，Cloud and AI System Engineer，Data center SW Engineering，Software Engineer — Distributed LLM Inference Systems，AI Software Development Engineer，AI Software Application Developer,https://chinacampus.jobs.intel.cn,0,招满即止,外企,"2026, 2027",和全球顶尖工程师一起探索技术的下一个边界,"上海, 北京, 广东-深圳"
"半导体,通信运营商",27届秋招,0,中际旭创,"本科,硕士,博士",2026/08/20,https://mp.weixin.qq.com/s?__biz=MzY4MjA2NjU3Mw==&mid=2247483858&idx=1&sn=ddb488347197c00940e106b327ff2b8a&chksm=827c4de277c1648dbf7b99fb7cd3cdeb7c12746ec153b9606bb20561f7a6da2eb6aea3aba669#rd,光学类，软件类，硬件类，工艺类，芯片类，智能制造类，质量类，IT类，职能类,https://zj-innolight.jobs.feishu.cn/300308,1,招满即止,民企,2027,参与宣讲行程即有机会获得惊喜周边,"江苏-苏州, 四川-成都, 安徽-铜陵, 江苏-淮安, 上海, 北京, 泰国, 新加坡"
半导体,27届秋招,0,安其威,"本科,硕士,博士",2026/08/20,https://mp.weixin.qq.com/s?__biz=Mzg5NDIwOTc2Ng==&mid=2247506569&idx=1&sn=5f8c900073526e595c277af66b5f232e&chksm=ce02b95679e2642bbc6ad1478635a1bb59c44eff55e6f6c1e136c1f9e150cb69a7d295e78a7b#rd,销售工程师，模拟与混合信号芯片设计工程师，模拟与混合信号芯片设计助理工程师，射频芯片设计工程师（PA/LNA/VGA/VM/上下变频器方向），射频芯片设计助理工程师，射频工程师，硬件工程师，天线工程师，软件工程师，逻辑工程师，测试工程师，数字前端工程师，EDA工程师,mailto:hr@archiwave.com,0,招满即止,民企,2027,,"上海, 江苏-南京"
"人工智能,金融",27届秋招,0,宽德投资,"本科,硕士,博士",2026/08/20,https://mp.weixin.qq.com/s?__biz=MzkzMDg2ODE2Nw==&mid=2247493521&idx=1&sn=5f487c8f1c0d3d3e95f32e40f13dba4c&chksm=e10c8fddb810e644d8b93de5ab1577c938f4d357b2590135fed8eaf76685faa40a6968ba3c60#rd,交易系统工程师，策略系统工程师，机器学习性能工程师，机器学习平台工程师，超算集群SRE工程师，数据工程师,mailto:hr@wizardquant.com,0,招满即止,民企,2027,"具有竞争力的薪酬激励体系
50%合伙人自实习加入宽德，80%研发负责人来自应届生培养
自由开放、乐于分享的团队文化，充足的计算与研发资源，以及持续演进的AI工具与工作方式","上海, 纽约"
游戏,27届秋招,0,米哈游,"本科,硕士,博士",2026/08/20,https://mp.weixin.qq.com/s?__biz=MzI4MTgwNzIxNA==&mid=2247507494&idx=2&sn=848f2c455950e6f16f59c22e046e4030&chksm=05aab98bdfc736eee8480f4a39ac6d270fb6469805aca3ad76d6dfd4abd6bfe52613f6b6770d#rd,游戏角色原画师，游戏怪物原画师，游戏美宣原画师，场景原画师，机械原画师，载具原画师，绑定师，场景模型师，游戏动画师，关卡美术设计师，CG文戏动画师，CG武戏动画师，3D硬表面设计师，动捕动画师，灯光师，2D动画师，游戏UI设计师，游戏特效师，UI特效设计师，HOUDINI特效师，UI蓝图工程师，特效原画设计师，UX设计师，分镜师，视觉设计师，视频设计师，2D美术（AI向），视频编导，综合美术（AI向），角色模型师，音效设计师，技术美术，作曲助理,https://jobs.mihoyo.com/?channelToken=xzd9c27704-80534aafab3d-6046dbb2863c#/campus/position?projectIds%5B0%5D=13&jobName=&competencyTypes%5B0%5D=2,1,2026-10-31,民企,"2027, 2028",实习生专项有机会提前获得转正 OFFER,上海
"航空航天与军工,制造业",27届秋招,0,中国电科五十所,"硕士,博士",2026/08/20,https://mp.weixin.qq.com/s?__biz=MzA4NDg0MTY4NA==&mid=2650064977&idx=1&sn=10134fd205e9655ca8577f9a24475bc7&chksm=9c4be060387978f3a658e1c1f4dd1f2d75db226ddd226caaedf82813ee86999cb4e8a9ddd870#rd,网络通信系统总体设计，未来网络技术研究，移动通信算法仿真，AI数据处理研究，MBSE总体设计，应用软件开发，嵌入式软件开发，算法仿真，FPGA应用开发，数字电路设计，机械结构设计，经济运行分析,mailto:50hr001@163.com,1,招满即止,事业单位,2027,"事业编制
优才优薪
七险二金
多元化落户
人才安家补贴
租房/交通餐饮补贴
员工宿舍&食堂
健身场馆
节日慰问
双线培养 (技术专家/管理干部)
系统培训、导师培养
人才安家补贴及租房补贴",上海
